"Product ","Category ","Tax Category ","Location ","Strain ","Member Discount ","Requires Weighing ","Medicated ","Requires Inventory ","Default Vendor ","Default Usable ","Cost Per Unit ","Inventory Type ","Quantity On Hand ","Metrc Weighable ","Rec Tax Category ","Medical Label ","Recreational Label "
"Jack Herer Cart 0.5g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Lifted","0.5","3","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Jack Herer Cart Dist 1g","Cartridges","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Miracle Wholesale","1","8","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Jack N Bruce cart Dist 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","13.5","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Jager BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Jager","Yes","Yes","Yes","Yes","DYME Distribution","","1.42","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Jager JNT 0.6g 2pk","Prerolls","Tax Exempt","Apothca - Eugene","Jager","Yes","No","Yes","Yes","East Fork Cultivars","1.2","1.58","Bud","","No","Tax Standard","Default Label","Default Label"
"Jager PP 1g","Sharing Shelf","Tax Exempt","Apothca - Eugene","Jager","Yes","No","Yes","Yes","DYME Distribution","1","1.43","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Jager PP 3.5g","Sharing Shelf","Tax Exempt","Apothca - Eugene","Jager","Yes","No","Yes","Yes","DYME Distribution","3.5","5.01","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Jager PP 7g","Sharing Shelf","Tax Exempt","Apothca - Eugene","Jager","Yes","No","Yes","Yes","DYME Distribution","7","10.01","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Jager Punch LR 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Oregrown Eugene","1","15","Cannabinoid extract in solid form","","No","Tax Standard","Default Label","Default Label"
"Jagermeister cart LR 1g","Cartridges","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Oregrown Eugene","1","18","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Jelly Rancher BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Jelly Rancher","Yes","Yes","Yes","Yes","Sugar Shack Farms","","2.64","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Jelly Rancher JNT 1g","Prerolls","Tax Exempt","Apothca - Eugene","Jelly Rancher","Yes","No","Yes","Yes","Sugar Shack Farms","1","2.64","Bud","","No","Tax Standard","Default Label","Default Label"
"Jelly Rancher PP 1g","Sharing Shelf","Tax Exempt","Apothca - Eugene","Jelly Rancher","Yes","No","Yes","Yes","Sugar Shack Farms","1","2.64","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Jelly Rancher PP 3.5g","Sharing Shelf","Tax Exempt","Apothca - Eugene","Jelly Rancher","Yes","No","Yes","Yes","Sugar Shack Farms","3.5","9.24","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Jelly Rancher PP 7g","Sharing Shelf","Tax Exempt","Apothca - Eugene","Jelly Rancher","Yes","No","Yes","Yes","Sugar Shack Farms","7","18.48","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Jet Diesel cart LR 1g","Cartridges","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","16.2","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Jet Fuel Cart Dist 1g","Extracts","Tax Exempt","Apothca - Eugene","Jet Fuel","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","13.5","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Jet Fuel Gelato PAX LD 0.5g","Extracts","Tax Exempt","Apothca - Eugene","Jet Fuel","Yes","No","Yes","Yes","Buddies Wholesale LLC","0.5","12.5","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Jumbalaya WAX 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Green Sea Distribution","1","4","Cannabinoid extract in solid form","","No","Tax Standard","Default Label","Default Label"
"Jungle Diamonds cart LR 1g","Cartridges","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Oregrown Eugene","1","18","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Jungle Juice crumble 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","6.4","Cannabinoid extract in solid form","","No","Tax Standard","Default Label","Default Label"
"Key Lime Candy WAX 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Green Sea Distribution","1","4","Cannabinoid extract in solid form","","No","Tax Standard","Default Label","Default Label"
"Key Lime Pie TWAX jnt 1g","Infused Prerolls","Tax Exempt","Apothca - Eugene","Key Lime Pie","Yes","No","Yes","Yes","DYME Distribution","1","8","Infused Prerolls","","No","Tax Standard","Default Label","Default Label"
"King Bubba BLUNT 1g","Prerolls","Tax Exempt","Apothca - Eugene","King Bubba","Yes","No","Yes","Yes","Fire Dept. Cannabis","1.3","3","Bud","","No","Tax Standard","Default Label","Default Label"
"LA Kush Cake BLUNT 1g","Prerolls","Tax Exempt","Apothca - Eugene","LA Kush Cake","Yes","No","Yes","Yes","Fire Dept. Cannabis","1","3","Bud","","No","Tax Standard","Default Label","Default Label"
"Legend OG cart Live Dist 1g","Cartridges","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","14.4","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Lemon Banana Sherbet BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Lemon Banana Sherbet","Yes","Yes","Yes","Yes","BG Family Farms, LLC","","1.32","Bud","-0.00000000000000888178419700125","Yes","Tax Standard","Default Label","Default Label"
"Lemon Banana Sherbet JNT 0.5g 5pk","Prerolls","Tax Exempt","Apothca - Eugene","Lemon Banana Sherbet","Yes","No","Yes","Yes","BG Family Farms, LLC","2.5","3.3","Bud","","No","Tax Standard","Default Label","Default Label"
"Lemon Banana Sherbet JNT 0.6g","Prerolls","Tax Exempt","Apothca - Eugene","Lemon Banana Sherbet","Yes","No","Yes","Yes","BG Family Farms, LLC","0.6","0.79","Bud","","No","Tax Standard","Default Label","Default Label"
"Lemon Banana Sherbet PP 1g","Economic Shelf","Tax Exempt","Apothca - Eugene","Lemon Banana Sherbet","Yes","No","Yes","Yes","BG Family Farms, LLC","1","1.32","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Lemon Banana Sherbet PP 28","Bulk Shake","Tax Exempt","Apothca - Eugene","Lemon Banana Sherbet","Yes","No","Yes","Yes","BG Family Farms, LLC","28","36.96","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Lemon Banana Sherbet PP 3.5g","Economic Shelf","Tax Exempt","Apothca - Eugene","Lemon Banana Sherbet","Yes","No","Yes","Yes","BG Family Farms, LLC","3.5","4.62","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Lemon Banana Sherbet PP 7g","Economic Shelf","Tax Exempt","Apothca - Eugene","Lemon Banana Sherbet","Yes","No","Yes","Yes","BG Family Farms, LLC","7","9.24","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Lemon Blur cart Dist 1g","Cartridges","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","13.5","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Lemon Cake cart Co2 1g","Extracts","Tax Exempt","Apothca - Eugene","Lemon Kush","Yes","No","Yes","Yes","Green Sea Distribution","1","8","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Lemon Kush BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Lemon Kush","Yes","Yes","Yes","Yes","DYME Distribution","","0.66","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Lemon Kush JNT 0.6g 2pk","Prerolls","Tax Exempt","Apothca - Eugene","Lemon Kush","Yes","No","Yes","Yes","Lifted","1.2","0.79","Bud","","No","Tax Standard","Default Label","Default Label"
"Lemon Lotus JNT 1g","Prerolls","Tax Exempt","Apothca - Eugene","Lemon Lotus","Yes","No","Yes","Yes","Lifted","1","2.5","Bud","","No","Tax Standard","Default Label","Default Label"
"Lemon Lotus JNT 1g 5pk","Prerolls","Tax Exempt","Apothca - Eugene","Lemon Lotus","Yes","No","Yes","Yes","Lifted","5","9","Bud","","No","Tax Standard","Default Label","Default Label"
"Lemon Meringue BLUNT 1g","Prerolls","Tax Exempt","Apothca - Eugene","Lemon Meringue","Yes","No","Yes","Yes","Fire Dept. Cannabis","1.3","3","Bud","","No","Tax Standard","Default Label","Default Label"
"Lemon Meringue Budder 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Oregrown Eugene","1","8","Cannabinoid extract in solid form","","No","Tax Standard","Default Label","Default Label"
"Lemon Meringue cart Co2 1g","Cartridges","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Green Sea Distribution","1","8","Cannabinoid extract in liquid form","28","No","Tax Standard","Default Label","Default Label"
"Lemon Meringue JNT 0.5g 10pk","Prerolls","Tax Exempt","Apothca - Eugene","Lemon Meringue","Yes","No","Yes","Yes","Green Sea Distribution","5","8","Bud","","No","Tax Standard","Default Label","Default Label"
"Lemon Meringue SHATTER 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","CWD Northwest, Inc.
","1","3","Cannabinoid extract in solid form","384","Yes","Tax Standard","Default Label","Default Label"
"Lemon Meringue TWAX JNT 0.5g","Infused Prerolls","Tax Exempt","Apothca - Eugene","Lemon Meringue","Yes","No","Yes","Yes","Fire Dept. Cannabis","0.5","5","Infused Prerolls","","No","Tax Standard","Default Label","Default Label"
"Lemon Meringue TWAX jnt 1g","Infused Prerolls","Tax Exempt","Apothca - Eugene","Lemon Meringue","Yes","No","Yes","Yes","DYME Distribution","1","8","Infused Prerolls","","No","Tax Standard","Default Label","Default Label"
"Lemon Meringue x Skinny JNT 0.5g 10pk","Prerolls","Tax Exempt","Apothca - Eugene","Lemon Meringue","Yes","No","Yes","Yes","Bishop Orchards","5","3","Bud","","No","Tax Standard","Default Label","Default Label"
"Lemon Ozium x Sherb Cake LR 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Fire Dept. Cannabis","1","8","Cannabinoid extract in solid form","","No","Tax Standard","Default Label","Default Label"
"Lemon Punch BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Lemon Punch","Yes","Yes","Yes","Yes","Odyssey","","4.41","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Lemon Punch JNT 1g","Prerolls","Tax Exempt","Apothca - Eugene","Lemon Punch","Yes","No","Yes","Yes","Odyssey","1","4.41","Bud","","No","Tax Standard","Default Label","Default Label"
"Lemon Punch PP 1g","Private Stash","Tax Exempt","Apothca - Eugene","Lemon Punch","Yes","No","Yes","Yes","Odyssey","1","4.41","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Lemon Punch PP 3.5g","Private Stash","Tax Exempt","Apothca - Eugene","Lemon Punch","Yes","No","Yes","Yes","Odyssey","3.5","15.42","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Lemon Punch PP 7g","Private Stash","Tax Exempt","Apothca - Eugene","Lemon Punch","Yes","No","Yes","Yes","Odyssey","7","30.84","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Lemon Royale BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Lemon Royale","Yes","Yes","Yes","Yes","High Tech Farms, LLC","","2.42","Bud","1698.00","Yes","Tax Standard","Default Label","Default Label"
"Lemon Royale JNT 0.6g 2pk","Prerolls","Tax Exempt","Apothca - Eugene","Lemon Royale","Yes","No","Yes","Yes","Frontier Farms
","1.2","3.17","Bud","","No","Tax Standard","Default Label","Default Label"
"Lemon Royale JNT 1g","Prerolls","Tax Exempt","Apothca - Eugene","Lemon Royale","Yes","No","Yes","Yes","Lifted","1","2","Bud","","No","Tax Standard","Default Label","Default Label"
"Lemon Royale PP 1g","Private Stash","Tax Exempt","Apothca - Eugene","Lemon Royale","Yes","No","Yes","Yes","Frontier Farms
","1","2.64","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Lemon Royale PP 3.5g","Private Stash","Tax Exempt","Apothca - Eugene","Lemon Royale","Yes","No","Yes","Yes","Frontier Farms
","3.5","9.25","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Lemon Royale PP 7g","Private Stash","Tax Exempt","Apothca - Eugene","Lemon Royale","Yes","No","Yes","Yes","Frontier Farms
","7","18.5","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Lemon Sour Diesel BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Sour Diesel","Yes","Yes","Yes","Yes","DYME Distribution","","1.32","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Lemon Sour Diesel JNT 0.5g 10pk","Prerolls","Tax Exempt","Apothca - Eugene","lemon sour diesel","Yes","No","Yes","Yes","Bishop Orchards","5","8.5","Bud","","No","Tax Standard","Default Label","Default Label"
"Lemon Sour Diesel JNT 0.6g 2pk","Prerolls","Tax Exempt","Apothca - Eugene","Lemon Sour Diesel","Yes","No","Yes","Yes","DYME Distribution","1.2","1.58","Bud","","No","Tax Standard","Default Label","Default Label"
"Lemon Sour Diesel JNT 8g","Prerolls","Tax Exempt","Apothca - Eugene","Lemon sour Diesel","Yes","No","Yes","Yes","DYME Distribution","8","10.56","Bud","","No","Tax Standard","Default Label","Default Label"
"Lemon Sour Diesel PP 1g","Economic Shelf","Tax Exempt","Apothca - Eugene","Sour Diesel","Yes","No","Yes","Yes","DYME Distribution","1","1.32","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Lemon Sour Diesel PP 3.5g","Economic Shelf","Tax Exempt","Apothca - Eugene","Sour Diesel","Yes","No","Yes","Yes","DYME Distribution","3.5","4.62","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Lemon Sour Diesel PP 7g","Economic Shelf","Tax Exempt","Apothca - Eugene","Sour Diesel","Yes","No","Yes","Yes","DYME Distribution","7","9.24","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Lemongrass BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Lemongrass","Yes","Yes","Yes","Yes","Odyssey","","1.53","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Lemongrass cart LR 1g","Cartridges","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Drops","1","15.63","Cannabinoid extract in liquid form","17","No","Tax Standard","Default Label","Default Label"
"Lemongrass PP 1g","Economic Shelf","Tax Exempt","Apothca - Eugene","Lemongrass","Yes","No","Yes","Yes","Odyssey","1","1.53","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Lemongrass PP 3.5g","Economic Shelf","Tax Exempt","Apothca - Eugene","Lemongrass","Yes","No","Yes","Yes","Odyssey","3.5","5.36","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Lemongrass PP 7g","Economic Shelf","Tax Exempt","Apothca - Eugene","Lemongrass","Yes","No","Yes","Yes","Odyssey","7","10.71","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Lip Balm CBD Original 4.8g","Topicals","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Sacred Herb Medicinals Inc","0.087","4","Cannabinoid topicals","","No","Tax Standard","Default Label","Default Label"
"Lip Balm THC Mint Tea Tree 4.8g","Topicals","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Sacred Herb Medicinals Inc","0.0067","4","Cannabinoid topicals","","No","Tax Standard","Default Label","Default Label"
"Lip Balm THC Original 4.8g","Topicals","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Sacred Herb Medicinals Inc","0.0119","4","Cannabinoid topicals","","No","Tax Standard","Default Label","Default Label"
"Lip Balm Vanilla Almond 10mg","Topicals","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Green Sea Distribution","0.01","2.5","Cannabinoid topicals","9","No","Tax Standard","Default Label","Default Label"
"Lollipop Caramel Apple 50mg","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Green Sea Distribution","0.05","3","Cannabinoid edibles","114","No","Tax Standard","Default Label","Default Label"
"Lollipop Mango Chilli 50mg","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Green Sea Distribution","0.05","3","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Lollipop Strawberry 50mg","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Green Sea Distribution","0.05","3","Cannabinoid edibles","85","No","Tax Standard","Default Label","Default Label"
"Loopa Goo LR 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Oregrown Eugene","1","15","Cannabinoid extract in solid form","","No","Tax Standard","Default Label","Default Label"
"Love Bucket Haze cart Dist 1g","Cartridges","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","14.4","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"MAC #4 Cart Dist 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","13.5","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Mac Daddy dist cart 1g","Cartridges","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","13.5","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"MAC1 BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","MAC 1","Yes","Yes","Yes","Yes","Self Made Farms, LLC.","","1.32","Bud","","Yes","Tax Standard","Default Label","Default Label"
"MAC1 JNT 0.5g 5pk","Prerolls","Tax Exempt","Apothca - Eugene","MAC 1","Yes","No","Yes","Yes","Self Made Farms, LLC.","2.5","3.3","Bud","","No","Tax Standard","Default Label","Default Label"
"Mac1 JNT 0.6g 2pk","Prerolls","Tax Exempt","Apothca - Eugene","MAC 1","Yes","No","Yes","Yes","Self Made Farms, LLC.","1.2","1.58","Bud","","No","Tax Standard","Default Label","Default Label"
"MAC1 LR 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Oregrown Eugene","1","8","Cannabinoid extract in solid form","","No","Tax Standard","Default Label","Default Label"
"Magenta Hashplant JNT 0.6g","Prerolls","Tax Exempt","Apothca - Eugene","Magenta Hashplant","Yes","No","Yes","Yes","Odyssey","0.6","0.66","Bud","","No","Tax Standard","Default Label","Default Label"
"Magic Drops Cream Soda Indica 1oz","Tinctures","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","0.15","12.5","Cannabinoid tinctures","","No","Tax Standard","Default Label","Default Label"
"Magic Melon CRUMBLE 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","7.2","Cannabinoid extract in solid form","","No","Tax Standard","Default Label","Default Label"
"Magic Melon JNT 1g","Prerolls","Tax Exempt","Apothca - Eugene","Magic Melon","Yes","No","Yes","Yes","Sugar Shack Farms","1","1.25","Bud","","No","Tax Standard","Default Label","Default Label"
"Mandarin Cookies BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Mandarin Cookies","Yes","Yes","Yes","Yes","Project 13","","2.2","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Mandarin Cookies JNT 0.5g 10pk","Prerolls","Tax Exempt","Apothca - Eugene","Mandarin Cookies","Yes","No","Yes","Yes","Green Sea Distribution","5","8","Bud","","No","Tax Standard","Default Label","Default Label"
"Mandarin Cookies PP 1g","Premium Shelf","Tax Exempt","Apothca - Eugene","Mandarin Cookies","Yes","No","Yes","Yes","Project 13","1","2.2","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Mandarin Cookies PP 3.5g","Premium Shelf","Tax Exempt","Apothca - Eugene","Mandarin Cookies","Yes","No","Yes","Yes","Project 13","3.5","7.71","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Mandarin Cookies PP 7g","Premium Shelf","Tax Exempt","Apothca - Eugene","Mandarin Cookies","Yes","No","Yes","Yes","Project 13","7","15.42","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Mango cart DIST 1g","Cartridges","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","13.5","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Mango Kush cart Dist 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","13.5","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Mango SSH INFUSED JNT 0.5g 5pk","Infused Prerolls","Tax Exempt","Apothca - Eugene","Mango SSH","Yes","No","Yes","Yes","DYME Distribution","2.5","12.75","Infused Prerolls","","No","Tax Standard","Default Label","Default Label"
"Mangolicious BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Mangolicious","Yes","Yes","Yes","Yes","Lifted","","0.55","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Mangolicious JNT 0.5g 5pk","Prerolls","Tax Exempt","Apothca - Eugene","Mangolicious","Yes","No","Yes","Yes","Lifted","2.5","1.38","Bud","","No","Tax Standard","Default Label","Default Label"
"Mangolicious JNT 0.6g","Prerolls","Tax Exempt","Apothca - Eugene","Mangolicious","Yes","No","Yes","Yes","Lifted","0.6","0.33","Bud","","No","Tax Standard","Default Label","Default Label"
"Mangolicious JNT 0.6g 2pk","Prerolls","Tax Exempt","Apothca - Eugene","Mangolicious","Yes","No","Yes","Yes","Lifted","1.2","0.66","Bud","","No","Tax Standard","Default Label","Default Label"
"Marshmellow Bon Bons 40mg","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","SugarTop Buddery","0.04","12","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Massage Oil 4oz 450mg","Topicals","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","High Desert Pure","0.45","20","Cannabinoid topicals","4","No","Tax Standard","Default Label","Default Label"
"Master Kush BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Master Kush","Yes","Yes","Yes","Yes","Arise Cannabis","","2.86","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Maui Wowie Cart Dist 1g","Extracts","Tax Exempt","Apothca - Eugene","Maui Wowie","Yes","No","Yes","Yes","CWD Northwest, Inc.
","1","10","Cannabinoid concentrate in liquid form","","No","Tax Standard","Default Label","Default Label"
"Maui Wowie cart Live Dist 1g","Cartridges","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","14.4","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Mega Drops Cream Soda 1000mg","Tinctures","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","40","Cannabinoid tinctures","","No","Tax Standard","Default Label","Default Label"
"Mega Drops Passion Fruit 1000mg","Tinctures","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Buddies Wholesale LLC","1","40","Cannabinoid tinctures","","No","Tax Standard","Default Label","Default Label"
"Mendo Breath Cart Dist 1g","Extracts","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Miracle Wholesale","1","8","Cannabinoid extract in liquid form","","No","Tax Standard","Default Label","Default Label"
"Mendo Purple BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Mendo Purple","Yes","Yes","Yes","Yes","Epoch Farms","","2.08","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Mendo Purple JNT 0.6g 2pk","Prerolls","Tax Exempt","Apothca - Eugene","Mendo Purple","Yes","No","Yes","Yes","Epoch Farms","1.2","2.5","Bud","","No","Tax Standard","Default Label","Default Label"
"Mendo Purple PP 1g","Sharing Shelf","Tax Exempt","Apothca - Eugene","Mendo Purple","Yes","No","Yes","Yes","Epoch Farms","1","2.08","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Mendo Purple PP 3.5g","Sharing Shelf","Tax Exempt","Apothca - Eugene","Mendo Purple","Yes","No","Yes","Yes","Epoch Farms","3.5","7.28","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Mendo Purple PP 7g","Sharing Shelf","Tax Exempt","Apothca - Eugene","Mendo Purple","Yes","No","Yes","Yes","Epoch Farms","7","14.56","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Mikes Strawberry Lemonade Bulk","Bulk Flower","Tax Exempt","Apothca - Eugene","Mikes Strawberry Lemonade","Yes","Yes","Yes","Yes","Trellis Farms","","1.98","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Mikes Strawberry Lemonade PP 1g","Sharing Shelf","Tax Exempt","Apothca - Eugene","Mikes Strawberry Lemonade","Yes","No","Yes","Yes","Trellis Farms","1","1.98","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Mikes Strawberry Lemonade PP 3.5g","Sharing Shelf","Tax Exempt","Apothca - Eugene","Mikes Strawberry Lemonade","Yes","No","Yes","Yes","Trellis Farms","3.5","6.94","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Mikes Strawberry Lemonade PP 7g","Sharing Shelf","Tax Exempt","Apothca - Eugene","Mikes Strawberry Lemonade","Yes","No","Yes","Yes","Trellis Farms","7","13.88","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Mimosa BULK","Bulk Flower","Tax Exempt","Apothca - Eugene","Mimosa","Yes","Yes","Yes","Yes","Arise Cannabis","","1.87","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Mimosa JNT 0.6g","Prerolls","Tax Exempt","Apothca - Eugene","Mimosa","Yes","No","Yes","Yes","Lifted","1","0.4","Bud","","No","Tax Standard","Default Label","Default Label"
"Mimosa JNT 0.6g 2pk","Prerolls","Tax Exempt","Apothca - Eugene","Mimosa","Yes","No","Yes","Yes","Lifted","1.2","0.79","Bud","","No","Tax Standard","Default Label","Default Label"
"Mimosa PP 1g","Premium Shelf","Tax Exempt","Apothca - Eugene","Mimosa","Yes","No","Yes","Yes","Lifted","1","1.98","Bud","33","Yes","Tax Standard","Default Label","Default Label"
"Mimosa PP 28g","Bulk Shake","Tax Exempt","Apothca - Eugene","Mimosa","Yes","No","Yes","Yes","Lifted","28","18.48","Bud","","Yes","Tax Standard","Default Label","Default Label"
"Mimosa PP 3.5g","Premium Shelf","Tax Exempt","Apothca - Eugene","Mimosa","Yes","No","Yes","Yes","Lifted","3.5","6.93","Bud","46","Yes","Tax Standard","Default Label","Default Label"
"Mimosa PP 7g","Premium Shelf","Tax Exempt","Apothca - Eugene","Mimosa","Yes","No","Yes","Yes","Lifted","7","13.86","Bud","22","Yes","Tax Standard","Default Label","Default Label"
"Mint Cinnamon 50mg","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Fire Dept. Cannabis","0.05","5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
"Mint Peppermint 50mg","Edibles","Tax Exempt","Apothca - Eugene","MIP","Yes","No","Yes","Yes","Fire Dept. Cannabis","0.05","5","Cannabinoid edibles","","No","Tax Standard","Default Label","Default Label"
